timestamp_fixed,time_local,time_local,time_utc,unknown,ambient_temperature,humidity,pressure,precision_gas,reducing_gas,oxidizing_gas,infrared_temperature,capacitance,external_adc,time_utc,latitude,longitude,altitude_ft,altitude_m
4/16/2016 13:30:51,13:30,1330,1830,27,22.1,10.7,37044,-3.4,259525,40176,-18.4,2688,1.223,1830,38.3390,-89.4229,26185,7981.188
4/16/2016 13:31:51,13:31,1331,1831,28,19.5,10.6,35684,-2.9,275461,43425,-81,2688,1.205,1831,38.3369,-89.4216,27041,8242.0968
4/16/2016 13:32:51,13:32,1332,1832,29,17.8,10.8,34456,-3.4,274923,46319,-53.9,2688,1.396,1832,38.3346,-89.4206,27631,8421.9288
4/16/2016 13:33:51,13:33,1333,1833,30,14.6,10.6,33048,-3,283101,49315,-29,2703,1.335,1833,38.3321,-89.4196,28773,8770.0104
4/16/2016 13:34:51,13:34,1334,1834,31,12.3,10.4,31920,-3.3,289822,54052,-171.4,2703,1.399,1834,38.3299,-89.4181,29272,8922.1056
4/16/2016 13:35:51,13:35,1335,1835,32,10.3,10.5,30708,-3.3,292099,57137,-106.5,2703,1.517,1835,38.3280,-89.4168,29729,9061.3992
4/16/2016 13:36:51,13:36,1336,1836,33,5.9,10.2,29540,-2.9,301690,64357,-124.9,2703,1.316,1836,38.3254,-89.4145,30953,9434.4744
4/16/2016 13:37:51,13:37,1337,1837,34,3.6,10,28376,-2.7,315930,75185,-92.2,2703,1.285,1836,38.3254,-89.4145,30953,9434.4744
4/16/2016 13:38:51,13:38,1338,1838,35,1.6,9.9,27296,-3.2,313456,80018,-82.9,2703,1.461,1838,38.3203,-89.4108,32364,9864.5472
4/16/2016 13:39:51,13:39,1339,1839,36,-2.2,9.8,25940,-3.3,315619,83250,-96.1,2703,1.507,1839,38.3180,-89.4091,33742,10284.5616
4/16/2016 13:40:51,13:40,1340,1840,37,-4.2,9.8,25036,-3,318111,87149,7.8,2703,1.224,1840,38.3160,-89.4068,34677,10569.5496
4/16/2016 13:41:51,13:41,1341,1841,38,-6.2,9.8,23976,-2.7,325716,92842,-140.1,2703,1.078,1841,38.3148,-89.4039,34870,10628.376
4/16/2016 13:42:51,13:42,1342,1842,39,-8.7,9.7,22900,-2.8,329593,98445,-117.3,2719,1.054,1842,38.3132,-89.4021,35841,10924.3368
4/16/2016 13:43:51,13:43,1343,1843,40,-9.6,10,22140,-3,336500,99372,-120.1,2719,1.111,1843,38.3111,-89.3996,37017,11282.7816
4/16/2016 13:44:51,13:44,1344,1844,41,-10.2,10.2,21320,-2.9,332534,102441,-84.7,2719,0.951,1844,38.3095,-89.3978,37778,11514.7344
4/16/2016 13:45:51,13:45,1345,1845,42,-11.8,10.1,20472,-2.8,340856,104850,-139.7,2719,1.292,1845,38.3079,-89.3963,37921,11558.3208
4/16/2016 13:46:51,13:46,1346,1846,43,-13.1,10.1,19736,-2.4,336500,108867,-96.4,2719,1.125,1846,38.3065,-89.3946,38857,11843.6136
4/16/2016 13:47:51,13:47,1347,1847,44,-15.3,10,18944,-2.9,343227,113625,-173.3,2735,1.345,1847,38.3049,-89.3935,40153,12238.6344
4/16/2016 13:48:51,13:48,1348,1848,45,-17.4,10,18188,-2.3,342888,120292,-185.6,2719,1.071,1848,38.3038,-89.3922,40777,12428.8296
4/16/2016 13:49:51,13:49,1349,1849,46,-18.7,9.9,17504,-2.6,345961,124297,-165.6,2735,1.229,1849,38.3029,-89.3904,41455,12635.484
4/16/2016 13:50:51,13:50,1350,1850,47,-20.3,9.9,16772,-2.7,382300,206725,-169.8,2735,1.189,1850,38.3012,-89.3861,42099,12831.7752
4/16/2016 13:51:51,13:51,1351,1851,48,-20.6,9.8,16180,-2.7,432000,476698,-211.8,2735,1.013,1851,38.2987,-89.3835,42983,13101.2184
4/16/2016 13:52:51,13:52,1352,1852,49,-21.2,9.7,15608,-2.4,475549,774580,-172.2,2735,1.247,1852,38.2969,-89.3813,43502,13259.4096
4/16/2016 13:53:51,13:53,1353,1853,50,-21,9.7,15052,-2.3,491991,880902,-167.5,2735,1.06,1853,38.2958,-89.3793,44398,13532.5104
4/16/2016 13:54:51,13:54,1354,1854,51,-21.1,9.7,14520,-2.3,498346,859500,-175.8,2750,1.206,1853,38.2958,-89.3793,44398,13532.5104
4/16/2016 13:55:51,13:55,1355,1855,52,-20.7,9.6,13904,-2.5,495685,859500,-135.6,2750,0.944,1855,38.2948,-89.3727,44746,13638.5808
4/16/2016 13:56:51,13:56,1356,1856,53,-20.3,9.6,13368,-2.4,560691,1619999,-149,2750,1.066,1856,38.2937,-89.3727,46615,14208.252
4/16/2016 13:57:51,13:57,1357,1857,54,-19.5,9.6,12932,-2.8,578541,2088000,-141.5,2750,1.029,1857,38.2933,-89.3725,46727,14242.3896
4/16/2016 13:58:51,13:58,1358,1858,55,-18.6,9.6,12472,-2.7,565083,1872000,-155.2,2766,1.06,1857,38.2933,-89.3725,46727,14242.3896
4/16/2016 13:59:51,13:59,1359,1859,56,-17.3,9.6,12020,-3,524288,880902,-161.2,2781,1.075,1857,38.2933,-89.3725,46727,14242.3896
4/16/2016 14:00:51,14:00,1400,1900,57,-16.5,9.5,11584,-2.6,487813,726545,-152.5,2781,0.961,1900,38.2946,-89.3659,49110,14968.728
4/16/2016 14:01:51,14:01,1401,1901,58,-15.1,9.5,11192,-2.8,485741,964800,-136.3,2781,1.127,1901,38.2959,-89.3622,49962,15228.4176
4/16/2016 14:02:51,14:02,1402,1902,59,-14.7,9.5,10780,-2.6,491466,1275157,-115.8,2797,1.131,1902,38.2979,-89.3589,50332,15341.1936
4/16/2016 14:03:51,14:03,1403,1903,60,-13.9,9.4,10424,-2.4,508078,1456200,-118.4,2797,1.045,1903,38.2991,-89.3562,51487,15693.2376
4/16/2016 14:04:51,14:04,1404,1904,61,-12.9,9.4,10028,-2.8,518061,1737000,-143,2813,1.116,1904,38.3008,-89.3527,51658,15745.3584
4/16/2016 14:05:51,14:05,1405,1905,62,-12,9.3,9644,-2.5,532941,2029500,-152.3,2813,1.138,1905,38.3023,-89.3471,52612,16036.1376
4/16/2016 14:06:51,14:06,1406,1906,63,-11.3,9.3,9272,-2.5,532941,1619999,-159,2828,1.138,1906,38.3025,-89.3423,52785,16088.868
4/16/2016 14:07:51,14:07,1407,1907,64,-10,9.3,8908,-2.4,506439,1347000,-136.3,2828,1.158,1906,38.3025,-89.3423,52785,16088.868
4/16/2016 14:08:51,14:08,1408,1908,65,-9.7,9.2,8580,-2.8,484195,1298250,-180.4,2844,1.132,1908,38.3030,-89.3334,55106,16796.3088
4/16/2016 14:09:51,14:09,1409,1909,66,-8.8,9.2,8244,-2.7,523149,2439000,-156.7,2844,1.136,1908,38.3030,-89.3334,55106,16796.3088
4/16/2016 14:10:51,14:10,1410,1910,67,-7.7,9.2,7948,-2.8,522012,1872000,-129.3,2860,1.089,1910,38.3021,-89.3270,56446,17204.7408
4/16/2016 14:11:51,14:11,1411,1911,68,-6.3,9.3,7644,-3.1,583783,2817000,-105.3,2875,1.078,1911,38.3008,-89.3252,57296,17463.8208
4/16/2016 14:12:51,14:12,1412,1912,69,-5.7,9.2,7348,-2.8,619501,3332454,-157.8,2875,1.141,1912,38.3009,-89.3234,58030,17687.544
4/16/2016 14:13:51,14:13,1413,1913,70,-4.6,9.2,7068,-2.9,588423,2817000,-97,2891,1.152,1913,38.3010,-89.3196,58652,17877.1296
4/16/2016 14:14:51,14:14,1414,1914,71,-3.9,9.2,6780,-2.9,612402,4896000,-143.6,2891,1.12,1913,38.3010,-89.3196,58652,17877.1296
4/16/2016 14:15:51,14:15,1415,1915,72,-3,9.2,6496,-2.6,620217,3667499,-144.7,2906,1.129,1915,38.2986,-89.3159,60447,18424.2456
4/16/2016 14:16:51,14:16,1416,1916,73,-1.8,9.2,6260,-3,724289,8172000,-96.8,2906,1.12,1916,38.2985,-89.3175,60540,18452.592
4/16/2016 14:17:51,14:17,1417,1917,74,-1,9.2,5984,-3.1,692271,7352999,-107.4,2922,1.116,1917,38.2999,-89.3184,61780,18830.544
4/16/2016 14:18:51,14:18,1418,1918,75,0,9.1,5756,-3.3,698169,12267000,-183.8,2938.,1302,1918,38.3012,-89.3167,62541,19062.4968
4/16/2016 14:19:51,14:19,1419,1919,76,1.3,9.2,5536,-3,688102,10512000,-107.2,2938.,1154,1919,38.3009,-89.3153,62671,19102.1208
4/16/2016 14:20:51,14:20,1420,1920,77,2.8,9.2,5312,-3.4,632571,4896000,-106.4,2953,1.368,1920,38.3008,-89.3138,63931,19486.1688
4/16/2016 14:21:51,14:21,1421,1921,78,4.5,9.2,5092,-3.3,553268,4896000,-118.4,2953,1.394,1921,38.3011,-89.3126,63979,19500.7992
4/16/2016 14:22:51,14:22,1422,1922,79,6.2,9.2,4900,-3.6,512484,2614500,-134,2969,1.39,1922,38.3022,-89.3096,65465,19953.732
4/16/2016 14:23:51,14:23,1423,1923,80,7.5,9.2,4700,-3.2,538223,3332454,-123.1,2985,1.434,1923,38.3022,-89.3074,66096,20146.0608
4/16/2016 14:24:51,14:24,1424,1924,81,8.8,9.2,4504,-3.2,564452,8172000,-101.3,3000,1.472,1924,38.3020,-89.3041,66198,20177.1504
4/16/2016 14:25:51,14:25,1425,1925,82,10.4,9.2,4340,-3.1,608197,5247000,-125.5,3000,1.253,1925,38.3003,-89.3014,66387,20234.7576
4/16/2016 14:26:51,14:26,1426,1926,83,12,9.3,4152,-3.9,659117,5247000,-98.3,3016,1.426,1926,38.2984,-89.3014,68552,20894.6496
4/16/2016 14:27:51,14:27,1427,1927,84,13.9,9.4,4000,-4,642252,6682909,-98.5,3031,1.448,1927,38.2973,-89.3031,68736,20950.7328
4/16/2016 14:28:51,14:28,1428,1928,85,15.4,9.4,3832,-4,715427,14723999,-96.6,3031,1.452,1928,38.2975,-89.3040,68894,20998.8912
4/16/2016 14:29:51,14:29,1429,1929,86,16.3,9.4,3700,-4.4,746222,7352999,-95.1,3047,1.435,1929,38.2987,-89.3044,68980,21025.104
4/16/2016 14:30:51,14:30,1430,1930,87,17.1,9.4,3528,-4.9,756601,7352999,-97.9,3063,1.397,1930,38.2997,-89.3021,71905,21916.644
4/16/2016 14:31:51,14:31,1431,1931,88,18.4,9.4,3396,-4.6,706722,9195750,-98.3,3078,1.448,1931,38.2979,-89.3007,72043,21958.7064
4/16/2016 14:32:51,14:32,1432,1932,89,20.2,9.4,3264,-4.8,676618,5652000,-81,3078,1.429,1931,38.2979,-89.3007,72043,21958.7064
4/16/2016 14:33:51,14:33,1433,1933,90,21.7,9.4,3144,-4.6,663826,5652000,-80.4,3094,1.446,1933,38.2964,-89.3020,73770,22485.096
4/16/2016 14:34:51,14:34,1434,1934,91,23.2,9.3,3028,-5.1,609594,4896000,-102.7,3110,1.434,1934,38.2969,-89.3019,73861,22512.8328
4/16/2016 14:35:51,14:35,1435,1935,92,24.9,9.3,2884,-4.7,566346,3667499,-58.8,3125,1.461,1935,38.2959,-89.3016,73937,22535.9976
4/16/2016 14:36:51,14:36,1436,1936,93,26.7,9.4,2760,-5,511378,4896000,-60.9,3125,1.407,1936,38.2950,-89.3022,76105,23196.804
4/16/2016 14:37:51,14:37,1437,1937,94,27.5,9.3,2648,-5.4,449824,3332454,-80.6,3141,1.416,1937,38.2951,-89.3032,76159,23213.2632
4/16/2016 14:38:51,14:38,1438,1938,95,29,9.4,2540,-5.3,405825,2930400,-89,3157,1.429,1938,38.2949,-89.3030,76223,23232.7704
4/16/2016 14:39:51,14:39,1439,1939,96,30.5,9.4,2432,-5.3,361439,4588875,-69.1,3172,1.434,1939,38.2953,-89.3022,79177,24133.1496
4/16/2016 14:40:51,14:40,1440,1940,97,32.6,9.4,2340,-5.8,301100,3861473,-87.3,3188,1.368,1940,38.2953,-89.3013,79308,24173.0784
4/16/2016 14:41:51,14:41,1441,1941,98,34.2,9.4,2232,-5.9,238344,2817000,-83.4,3203,1.414,1941,38.2946,-89.3018,79475,24223.98
4/16/2016 14:42:51,14:42,1442,1942,99,35.9,9.6,2156,-5.8,189347,2149941,-86.5,3219,1.417,1942,38.2936,-89.3021,79580,24255.984
4/16/2016 14:43:51,14:43,1443,1943,100,37.6,9.6,2084,-6,124874,1657227,-73.9,3250,1.401,1943,38.2937,-89.3024,82058,25011.2784
4/16/2016 14:44:51,14:44,1444,1944,101,39.2,9.6,2000,-6,94299,1210500,-136,3297,1.396,1943,38.2937,-89.3024,82058,25011.2784
4/16/2016 14:45:51,14:45,1445,1945,102,40.7,9.6,1900,-5.7,75623,939272,-87.4,3344,1.431,1945,38.2942,-89.3027,82173,25046.3304
4/16/2016 14:46:51,14:46,1446,1946,103,42.3,9.7,1832,-6.2,65553,870072,-98.2,3360,1.386,1946,38.2952,-89.3009,84505,25757.124
4/16/2016 14:47:51,14:47,1447,1947,104,43.9,9.8,1764,-5.9,59454,766148,-48.7,3375,1.415,1947,38.2951,-89.2992,84589,25782.7272
4/16/2016 14:48:51,14:48,1448,1948,105,45.8,9.8,1700,-6.5,52911,562393,-124.3,3375,1.368,1948,38.2955,-89.2984,84701,25816.8648
4/16/2016 14:49:51,14:49,1449,1949,106,47.3,9.9,1632,-6.3,49921,434208,-81.7,3375,1.401,1949,38.2970,-89.2956,86817,26461.8216
4/16/2016 14:50:51,14:50,1450,1950,107,49.2,9.9,1560,-6.5,51409,346901,-68,3375,1.396,1950,38.2969,-89.2927,86983,26512.4184
4/16/2016 14:51:51,14:51,1451,1951,108,50.7,10,1500,-6.6,53006,178560,-76.3,3375,1.386,1951,38.2980,-89.2906,89073,27149.4504
4/16/2016 14:52:51,14:52,1452,1952,109,47.3,9.2,2172,-7.7,65961,266594,-29.4,3375,1.533,1952,38.3003,-89.2889,88676,27028.4448
4/16/2016 14:53:51,14:53,1453,1953,110,37.7,8.8,3028,-7.1,139651,1252862,-16.2,3375,1.558,1953,38.3031,-89.2870,88573,26997.0504
4/16/2016 14:54:51,14:54,1454,1954,111,26.3,8.4,4048,-6,340519,9195750,-125.5,3375,1.355,1954,38.3075,-89.2849,88565,26994.612
4/16/2016 14:55:51,14:55,1455,1955,112,14.8,8.1,5208,-4.5,448421,7352999,-77.1,3375,1.461,1955,38.2974,-89.2878,63688,19412.1024
4/16/2016 14:56:51,14:56,1456,1956,113,4,7.9,6524,-3.1,599905,36837000,-83.3,3360,0.982,1956,38.2970,-89.2872,63417,19329.5016
4/16/2016 14:57:51,14:57,1457,1957,114,-6.5,7.5,7980,-2.7,659899,6682909,-89.9,3282,1.211,1957,38.2975,-89.2845,63299,19293.5352
4/16/2016 14:58:51,14:58,1458,1958,115,-16.4,7.4,9560,-2.2,616647,6682909,-134.6,3266,0.955,1957,38.2975,-89.2845,63299,19293.5352
4/16/2016 14:59:51,14:59,1459,1959,116,-25.4,7.4,11348,-2,721614,14723999,-59.2,3219,0.902,1957,38.2975,-89.2845,63299,19293.5352
4/16/2016 15:00:51,15:00,1500,2000,117,-32,7.4,13240,-2.1,671780,24552000,-138.8,3172,1.046,2000,38.3057,-89.2687,63227,19271.5896
4/16/2016 15:01:51,15:01,1501,2001,118,-38.,74,15340,-2.2,842323,73692000,-186.5,3157,0.977,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:02:51,15:02,1502,2002,119,-44.4,7.4,17576,-1.9,911250,73692000,-129.3,3125,0.949,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:03:51,15:03,1503,2003,120,-49.8,7.4,20068,-1.9,583783,3492000,-104.4,3078,1.001,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:04:51,15:04,1504,2004,121,-51.7,7.5,22652,-2.6,465139,2712000,-88.5,3031,0.96,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:05:51,15:05,1505,2005,122,-50.3,7.7,25240,-2.1,411238,2817000,-111,2985,0.99,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:06:51,15:06,1506,2006,123,-46.4,8.1,27840,-2.4,357853,2439000,0,2938.,1155,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:07:51,15:07,1507,2007,124,-41.4,8.8,30664,-2.3,355721,3492000,-132.5,2875,0.977,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:08:51,15:08,1508,2008,125,-36,9.7,33560,-2.4,333850,3667499,-111.6,2766,0.94,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:09:51,15:09,1509,2009,126,-29.8,10.8,36536,-2.6,309785,3861473,-68.9,2625,0.877,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:10:51,15:10,1510,2010,127,-22.9,12,39616,-2.3,293245,2817000,-81.1,2531,0.99,2001,38.3059,-89.2658,63227,19271.5896
4/16/2016 15:11:51,15:11,1511,2011,128,-15.5,12.3,42748,-2.9,270131,2439000,-52.8,2469,0.967,2011,38.2880,-89.2362,63232,19273.1136
4/16/2016 15:12:51,15:12,1512,2012,129,-9.2,12.6,45916,-2.5,274387,4077000,-18.5,2438.,0971,2012,38.2885,-89.2360,63230,19272.504
4/16/2016 15:13:51,15:13,1513,2013,130,-3.1,14.5,49228,-2.9,244016,1065970,-24.1,2406,0.996,2012,38.2885,-89.2360,63230,19272.504
4/16/2016 15:14:51,15:14,1514,2014,131,2.7,16.6,52704,-2.6,214934,415588,-150.9,2391,0.983,2012,38.2885,-89.2360,63230,19272.504
4/16/2016 15:15:51,15:15,1515,2015,132,9.1,21.3,56136,-2.4,202702,193810,-12.6,2375,1.124,2012,38.2885,-89.2360,63230,19272.504
4/16/2016 15:16:51,15:16,1516,2016,133,15.3,24.3,59672,-2.5,178721,117496,7.3,2375,1.319,2012,38.2885,-89.2360,63230,19272.504
4/16/2016 15:17:51,15:17,1517,2017,134,21.1,26.1,63168,-2.9,164781,72330,20.4,2391,1.267,2012,38.2885,-89.2360,63230,19272.504
4/16/2016 15:18:51,15:18,1518,2018,135,26.4,30.9,66820,-2.4,150239,49315,19.1,2406,1.274,2012,38.2885,-89.2360,63230,19272.504
4/16/2016 15:19:51,15:19,1519,2019,136,30.5,52.6,70636,-2.9,132933,32625,40,2422,1.363,2012,38.2885,-89.2360,63230,19272.504
4/16/2016 15:20:51,15:20,1520,2020,137,34.7,60.7,74628,-3.5,131908,23317,47.7,2422,1.502,2020,38.2969,-89.2298,63264,19282.8672
4/16/2016 15:21:51,15:21,1521,2021,138,39.5,59.2,78820,-5.5,123329,19530,46.5,2453,1.404,2021,38.2989,-89.2290,63266,19283.4768
4/16/2016 15:22:51,15:22,1522,2022,139,44.5,52.1,83184,-5.7,113506,18132,47.4,2469,1.289,2022,38.3017,-89.2284,63271,19285.0008
4/16/2016 15:23:51,15:23,1523,2023,140,49.3,67.5,86948,-4.9,101647,15999,63.4,2484,1.487,2023,38.3027,-89.2282,63271,19285.0008
4/16/2016 15:24:51,15:24,1524,2024,141,53.8,65.5,90704,-6.5,97569,14687,70.2,2516,1.4,2019,38.2951,-89.2310,63257,19280.7336
4/16/2016 15:25:51,15:25,1525,2025,142,58.7,61.7,95032,-9.2,86201,13153,23.3,2531,1.462,2019,38.2951,-89.2310,63257,19280.7336
4/16/2016 15:26:51,15:26,1526,2026,143,64.2,57.9,99376,-16,82117,12483,80.5,2563,1.452,2019,38.2951,-89.2310,63257,19280.7336
4/16/2016 15:27:51,15:27,1527,2027,144,70.4,73.5,100916,-23.5,62626,10951,98.5,2594,1.394,2019,38.2951,-89.2310,63257,19280.7336
